Unnamed: 0,French,English
0,partie,part
2,chercher,search
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
10,laisser,let
13,aucun,no
14,laisse,leash
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
23,heures,hours
26,revoir,meet again
27,aucune,any
28,place,square
34,voici,here is
35,pourrais,could
36,affaire,case
38,type,type
41,train,train
42,corps,body
44,yeux,eyes
48,trouve,find
50,perdu,lost
51,main,hand
55,vieux,old
57,tiens,here
59,tellement,so much
60,enfant,child
61,point,point
65,venez,come
66,devant,in front of
67,vers,towards
72,belle,beautiful
75,aujourd'hui,today
76,mari,husband
78,enfin,finally
81,attendez,Wait
82,parti,left
84,boulot,job
85,arrêter,Stop
86,dirait,would say
88,compte,account
89,donne,given
94,gros,large
96,aura,will have
97,filles,girls
